City,Historical_Date,Historical_Year,Historical_Month,Historical_Day,longitude,latitude,wind_direction_10m_dominant,precipitation_hours,precipitation_sum,apparent_temperature_max,daylight_duration,wind_gusts_10m_max,snowfall_sum,uv_index_clear_sky_max,sunset,temperature_2m_min,et0_fao_evapotranspiration,wind_speed_10m_max,showers_sum,uv_index_max,sunrise,temperature_2m_max,shortwave_radiation_sum,precipitation_probability_max,rain_sum,sunshine_duration,apparent_temperature_min,weather_code
Buenos Aires,2021-01-01,2021,01,Fri,-58.4440583,-34.6083696,315.9676,0.0,0.0,33.318806,51905.625,41.039997,0.0,,0,19.4415,7.927959,24.850431,0.0,,0,30.9415,30.69,,0.0,48645.25,16.892185,3.0
Buenos Aires,2021-01-02,2021,01,Sat,-58.4440583,-34.6083696,59.239777,0.0,0.0,31.81593,51868.25,36.0,0.0,,0,21.5415,7.776455,21.659916,0.0,,0,31.0915,32.05,,0.0,48610.7,21.337797,0.0
Buenos Aires,2021-01-03,2021,01,Sun,-58.4440583,-34.6083696,66.00421,0.0,0.0,29.276737,51828.016,49.32,0.0,,0,23.6915,7.820685,28.802248,0.0,,0,29.1415,31.57,,0.0,46952.59,22.618908,3.0
Buenos Aires,2021-01-04,2021,01,Mon,-58.4440583,-34.6083696,76.26494,0.0,0.0,29.827484,51784.973,43.199997,0.0,,0,22.8915,6.2598424,24.312662,0.0,,0,27.5415,27.17,,0.0,46275.48,22.766766,3.0
Buenos Aires,2021-01-05,2021,01,Tue,-58.4440583,-34.6083696,115.03278,6.0,9.2,31.849697,51739.176,54.0,0.0,,0,20.491499,4.959783,29.144438,0.0,,0,28.1415,25.18,,9.2,45896.402,21.609581,63.0
Buenos Aires,2021-01-06,2021,01,Wed,-58.4440583,-34.6083696,279.36502,3.0,3.1,25.653631,51690.668,55.8,0.0,,0,19.2915,4.7761006,31.491255,0.0,,0,25.741499,22.24,,3.1,46748.27,19.209702,61.0
Buenos Aires,2021-01-07,2021,01,Thu,-58.4440583,-34.6083696,263.10062,0.0,0.0,28.860558,51639.5,50.76,0.0,,0,16.991499,7.2218194,27.698952,0.0,,0,30.6415,30.86,,0.0,48398.758,16.322824,1.0
Buenos Aires,2021-01-08,2021,01,Fri,-58.4440583,-34.6083696,165.58865,0.0,0.0,30.421787,51585.547,39.96,0.0,,0,19.8415,7.2012386,23.587555,0.0,,0,28.8415,28.83,,0.0,45073.082,19.210873,3.0
Buenos Aires,2021-01-09,2021,01,Sat,-58.4440583,-34.6083696,72.94695,6.0,6.8,28.00793,51528.227,39.96,0.0,,0,19.5415,5.5750427,23.377836,0.0,,0,25.491499,25.38,,6.8,37911.22,18.526546,63.0
Buenos Aires,2021-01-10,2021,01,Sun,-58.4440583,-34.6083696,65.4858,0.0,0.0,33.083065,51467.61,43.92,0.0,,0,22.5915,6.6761985,24.64094,0.0,,0,29.0915,30.27,,0.0,45298.98,23.5917,3.0
