City,Historical_Date,Historical_Year,Historical_Month,Historical_Day,longitude,latitude,wind_direction_10m_dominant,precipitation_hours,precipitation_sum,apparent_temperature_max,daylight_duration,wind_gusts_10m_max,snowfall_sum,uv_index_clear_sky_max,sunset,temperature_2m_min,et0_fao_evapotranspiration,wind_speed_10m_max,showers_sum,uv_index_max,sunrise,temperature_2m_max,shortwave_radiation_sum,precipitation_probability_max,rain_sum,sunshine_duration,apparent_temperature_min,weather_code
Buenos Aires,2019-01-01,2019,01,Tue,-58.4440583,-34.6083696,61.06065,3.0,5.2,34.617886,51934.29,37.8,0.0,,0,22.4415,5.406383,21.603,0.0,,0,28.9415,25.93,,5.2,42070.312,21.847452,63.0
Buenos Aires,2019-01-02,2019,01,Wed,-58.4440583,-34.6083696,335.2462,14.0,28.0,36.032448,51898.234,44.639996,0.0,,0,22.491499,3.39825,19.134262,0.0,,0,30.1415,16.45,,28.0,18176.273,25.845299,65.0
Buenos Aires,2019-01-03,2019,01,Thu,-58.4440583,-34.6083696,186.17287,4.0,2.1999998,27.039703,51858.836,62.279995,0.0,,0,16.4415,5.8766475,34.875435,0.0,,0,24.1915,29.25,,2.1999998,45427.688,12.854397,61.0
Buenos Aires,2019-01-04,2019,01,Fri,-58.4440583,-34.6083696,343.61038,0.0,0.0,29.797493,51816.203,30.239998,0.0,,0,18.1415,6.291129,16.981165,0.0,,0,26.2915,32.1,,0.0,48557.293,16.966507,3.0
Buenos Aires,2019-01-05,2019,01,Sat,-58.4440583,-34.6083696,20.158447,0.0,0.0,28.716583,51770.434,40.32,0.0,,0,20.741499,6.769568,22.346113,0.0,,0,27.3915,32.27,,0.0,48514.875,21.168219,0.0
Buenos Aires,2019-01-06,2019,01,Sun,-58.4440583,-34.6083696,348.21426,3.0,2.6,32.766594,51721.62,44.28,0.0,,0,23.3915,4.452777,24.336637,0.0,,0,29.6915,18.75,,2.6,27465.229,24.30255,61.0
Buenos Aires,2019-01-07,2019,01,Mon,-58.4440583,-34.6083696,225.5282,10.0,8.099999,27.187368,51669.855,41.399998,0.0,,0,21.4415,2.1671758,22.682856,0.0,,0,24.6415,10.85,,8.099999,18629.863,23.30089,63.0
Buenos Aires,2019-01-08,2019,01,Tue,-58.4440583,-34.6083696,335.42975,1.0,0.9,33.596024,51615.25,38.16,0.0,,0,21.1415,5.458735,18.864824,0.0,,0,28.6415,26.76,,0.9,45795.207,21.908468,53.0
Buenos Aires,2019-01-09,2019,01,Wed,-58.4440583,-34.6083696,151.322,7.0,13.3,29.744122,51557.887,58.32,0.0,,0,19.741499,5.335087,28.167557,0.0,,0,28.491499,24.71,,13.3,39857.01,21.869576,63.0
Buenos Aires,2019-01-10,2019,01,Thu,-58.4440583,-34.6083696,158.38908,8.0,12.200001,25.18436,51497.88,44.639996,0.0,,0,17.991499,2.8067546,24.48,0.0,,0,23.3415,13.18,,12.200001,27705.398,16.10725,63.0
Buenos Aires,2019-01-11,2019,01,Fri,-58.4440583,-34.6083696,139.505,0.0,0.0,23.394724,51435.316,47.88,0.0,,0,12.6414995,6.027309,23.857979,0.0,,0,22.491499,33.17,,0.0,48204.016,10.991349,2.0
Buenos Aires,2019-01-12,2019,01,Sat,-58.4440583,-34.6083696,51.73045,0.0,0.0,29.777012,51370.297,33.839996,0.0,,0,19.8415,5.987233,17.595861,0.0,,0,26.0915,30.98,,0.0,48143.6,19.326351,3.0
Buenos Aires,2019-01-13,2019,01,Sun,-58.4440583,-34.6083696,90.981224,6.0,7.7,25.870958,51302.918,42.48,0.0,,0,21.741499,2.4146082,23.688984,0.0,,0,24.4415,10.73,,7.7,21813.182,22.736866,61.0
Buenos Aires,2019-01-14,2019,01,Mon,-58.4440583,-34.6083696,122.95744,6.0,1.3000001,29.427486,51233.273,38.16,0.0,,0,18.3415,4.3811836,21.868332,0.0,,0,25.6415,23.54,,1.3000001,45456.32,19.321709,51.0
Buenos Aires,2019-01-15,2019,01,Tue,-58.4440583,-34.6083696,122.73897,15.0,13.500002,27.206963,51161.46,39.6,0.0,,0,21.6915,2.7993143,20.46941,0.0,,0,24.991499,14.4,,13.500002,28334.97,22.64262,63.0
Buenos Aires,2019-01-16,2019,01,Wed,-58.4440583,-34.6083696,223.38647,0.0,0.0,32.371193,51087.582,30.239998,0.0,,0,16.241499,5.439605,18.328207,0.0,,0,27.0915,29.78,,0.0,47880.457,17.49403,3.0
Buenos Aires,2019-01-17,2019,01,Thu,-58.4440583,-34.6083696,137.1521,2.0,0.3,26.897627,51011.723,59.76,0.0,,0,17.4415,4.7369213,35.208294,0.0,,0,23.741499,22.94,,0.3,37288.125,14.325352,51.0
Buenos Aires,2019-01-18,2019,01,Fri,-58.4440583,-34.6083696,144.07236,8.0,1.6,22.230036,50933.98,49.68,0.0,,0,14.6915,4.5418863,28.04305,0.0,,0,22.1415,23.12,,1.6,38500.508,12.281971,51.0
Buenos Aires,2019-01-19,2019,01,Sat,-58.4440583,-34.6083696,113.22585,5.0,1.0,24.11771,50854.28,33.839996,0.0,,0,15.2915,4.841124,18.581022,0.0,,0,22.5415,26.92,,1.0,47273.188,15.996149,51.0
Buenos Aires,2019-01-20,2019,01,Sun,-58.4440583,-34.6083696,52.896347,0.0,0.0,26.256931,50771.758,36.719997,0.0,,0,19.1415,5.7909145,21.794127,0.0,,0,23.3915,30.18,,0.0,46346.82,18.44883,3.0
Buenos Aires,2019-01-21,2019,01,Mon,-58.4440583,-34.6083696,13.408499,0.0,0.0,30.579136,50686.39,43.56,0.0,,0,19.8415,6.0023665,23.86341,0.0,,0,27.5415,29.11,,0.0,47445.176,19.811115,2.0
Buenos Aires,2019-01-22,2019,01,Tue,-58.4440583,-34.6083696,354.53864,2.0,0.3,33.901783,50598.344,37.44,0.0,,0,22.1915,5.9655356,20.957443,0.0,,0,30.0915,27.67,,0.3,47423.67,23.631575,51.0
Buenos Aires,2019-01-23,2019,01,Wed,-58.4440583,-34.6083696,93.62365,7.0,13.3,29.219894,50507.76,50.399998,0.0,,0,20.7915,4.1137543,29.834423,0.0,,0,26.7915,21.25,,13.3,33340.98,22.185036,65.0
Buenos Aires,2019-01-24,2019,01,Thu,-58.4440583,-34.6083696,81.29076,0.0,0.0,32.705795,50414.793,52.56,0.0,,0,22.3415,5.6282663,26.111792,0.0,,0,27.9415,28.2,,0.0,44774.074,21.866022,3.0
Buenos Aires,2019-01-25,2019,01,Fri,-58.4440583,-34.6083696,41.281517,8.0,27.5,28.872467,50319.59,49.32,0.0,,0,22.0915,2.066816,27.783045,0.0,,0,26.8415,5.66,,27.5,2250.5793,22.431976,63.0
Buenos Aires,2019-01-26,2019,01,Sat,-58.4440583,-34.6083696,117.29947,1.0,0.1,37.053314,50222.293,27.0,0.0,,0,21.4415,4.4600224,15.119999,0.0,,0,29.9415,21.93,,0.1,30676.996,24.741886,51.0
Buenos Aires,2019-01-27,2019,01,Sun,-58.4440583,-34.6083696,98.39669,0.0,0.0,34.785946,50123.047,38.16,0.0,,0,23.1415,5.23688,20.008356,0.0,,0,28.5915,27.78,,0.0,45454.746,25.796537,3.0
Buenos Aires,2019-01-28,2019,01,Mon,-58.4440583,-34.6083696,354.54578,7.0,2.0,38.73717,50022.0,42.12,0.0,,0,25.4415,5.145241,18.888851,0.0,,0,32.7415,24.86,,2.0,45756.484,30.40266,55.0
Buenos Aires,2019-01-29,2019,01,Tue,-58.4440583,-34.6083696,339.6664,4.0,2.2,38.87375,49919.273,38.519997,0.0,,0,26.991499,5.785081,21.659916,0.0,,0,33.6915,24.88,,2.2,40459.51,30.325993,61.0
