City,Historical_Date,Historical_Year,Historical_Month,Historical_Day,longitude,latitude,wind_direction_10m_dominant,precipitation_hours,precipitation_sum,apparent_temperature_max,daylight_duration,wind_gusts_10m_max,snowfall_sum,uv_index_clear_sky_max,sunset,temperature_2m_min,et0_fao_evapotranspiration,wind_speed_10m_max,showers_sum,uv_index_max,sunrise,temperature_2m_max,shortwave_radiation_sum,precipitation_probability_max,rain_sum,sunshine_duration,apparent_temperature_min,weather_code
Buenos Aires,2017-01-01,2017,01,Sun,-58.37723,-34.61315,251.45926,3.0,4.3999996,33.874947,51909.805,33.12,0.0,,0,25.661001,4.6350636,18.430452,0.0,,0,30.261,20.43,,4.3999996,32322.096,28.627739,61.0
Buenos Aires,2017-01-02,2017,01,Mon,-58.37723,-34.61315,113.06231,0.0,0.0,30.483727,51872.637,55.079998,0.0,,0,20.261,6.89123,29.363731,0.0,,0,26.761,32.32,,0.0,48610.445,18.916197,0.0
Buenos Aires,2017-01-03,2017,01,Tue,-58.37723,-34.61315,0.9896036,11.0,14.100001,32.23588,51832.61,56.16,0.0,,0,23.361,3.1946142,27.74103,0.0,,0,27.961,11.13,,14.100001,18353.32,24.493185,63.0
Buenos Aires,2017-01-04,2017,01,Wed,-58.37723,-34.61315,242.36327,1.0,0.1,33.609406,51789.766,38.519997,0.0,,0,21.211,6.302271,17.581125,0.0,,0,29.511,31.08,,0.1,48533.164,22.621159,51.0
Buenos Aires,2017-01-05,2017,01,Thu,-58.37723,-34.61315,205.56926,0.0,0.0,27.577719,51744.16,41.760002,0.0,,0,17.711,6.98062,21.603,0.0,,0,26.811,33.01,,0.0,48490.637,17.205366,0.0
Buenos Aires,2017-01-06,2017,01,Fri,-58.37723,-34.61315,50.110493,0.0,0.0,27.415525,51695.85,47.88,0.0,,0,19.261,6.9418454,27.288855,0.0,,0,27.311,32.55,,0.0,48445.56,16.518324,1.0
Buenos Aires,2017-01-07,2017,01,Sat,-58.37723,-34.61315,3.360895,1.0,0.3,33.554012,51644.887,46.079998,0.0,,0,24.361,6.6656084,27.51116,0.0,,0,30.561,27.91,,0.3,41870.266,23.856812,51.0
Buenos Aires,2017-01-08,2017,01,Sun,-58.37723,-34.61315,122.927864,5.0,10.1,33.273407,51591.332,60.120003,0.0,,0,22.511,2.9289613,35.494247,0.0,,0,28.161001,12.77,,10.1,7859.2314,22.648802,65.0
Buenos Aires,2017-01-09,2017,01,Mon,-58.37723,-34.61315,111.705475,2.0,29.6,33.170433,51535.117,74.159996,0.0,,0,20.211,5.375156,34.746994,0.0,,0,28.911001,27.68,,29.6,38500.707,20.464615,65.0
Buenos Aires,2017-01-10,2017,01,Tue,-58.37723,-34.61315,160.7922,1.0,5.7,28.780647,51475.61,58.32,0.0,,0,15.711,5.8884897,19.33639,0.0,,0,25.661001,31.17,,5.7,44819.598,15.2675,63.0
Buenos Aires,2017-01-11,2017,01,Wed,-58.37723,-34.61315,348.89618,0.0,0.0,30.494274,51412.82,32.399998,0.0,,0,19.761,6.4174914,16.055353,0.0,,0,28.261,32.33,,0.0,48182.184,20.546663,0.0
Buenos Aires,2017-01-12,2017,01,Thu,-58.37723,-34.61315,356.1469,0.0,0.0,32.85033,51346.887,40.68,0.0,,0,21.211,6.5142226,22.392462,0.0,,0,29.761,31.24,,0.0,48120.977,23.634787,1.0
Buenos Aires,2017-01-13,2017,01,Fri,-58.37723,-34.61315,324.8544,3.0,2.8999999,32.108166,51277.953,56.88,0.0,,0,23.561,5.4959564,32.85678,0.0,,0,30.511,18.49,,2.8999999,35822.46,21.295527,63.0
Buenos Aires,2017-01-14,2017,01,Sat,-58.37723,-34.61315,96.869286,0.0,0.0,26.541618,51206.137,55.8,0.0,,0,19.361,7.256414,28.664682,0.0,,0,25.911001,32.76,,0.0,47990.25,18.153116,0.0
Buenos Aires,2017-01-15,2017,01,Sun,-58.37723,-34.61315,87.35207,7.0,7.7,25.193476,51131.594,51.839996,0.0,,0,18.211,2.868324,30.378967,0.0,,0,24.111,6.5,,7.7,0.0,15.551735,61.0
Buenos Aires,2017-01-16,2017,01,Mon,-58.37723,-34.61315,106.554276,17.0,22.499998,28.475597,51054.44,56.88,0.0,,0,21.861,3.9161403,32.058193,0.0,,0,26.011,19.41,,22.499998,34819.395,21.82821,63.0
Buenos Aires,2017-01-17,2017,01,Tue,-58.37723,-34.61315,199.15363,2.0,0.3,34.74053,50974.824,35.28,0.0,,0,20.661001,5.334269,19.228851,0.0,,0,31.011,25.6,,0.3,44321.113,21.788467,51.0
Buenos Aires,2017-01-18,2017,01,Wed,-58.37723,-34.61315,106.46445,0.0,0.0,30.923481,50892.867,53.28,0.0,,0,20.111,7.0083184,31.667723,0.0,,0,27.011,31.99,,0.0,47698.87,18.72212,0.0
Buenos Aires,2017-01-19,2017,01,Thu,-58.37723,-34.61315,20.430916,0.0,0.0,33.834755,50808.707,39.6,0.0,,0,23.211,5.9026527,22.346113,0.0,,0,29.761,27.22,,0.0,46993.46,23.79965,2.0
Buenos Aires,2017-01-20,2017,01,Fri,-58.37723,-34.61315,23.702673,1.0,0.3,31.319702,50722.457,42.48,0.0,,0,24.011,5.9587913,25.455843,0.0,,0,28.311,26.04,,0.3,42042.22,24.734003,51.0
Buenos Aires,2017-01-21,2017,01,Sat,-58.37723,-34.61315,15.631302,0.0,0.0,35.83658,50634.26,38.16,0.0,,0,24.261,6.909545,20.172853,0.0,,0,31.161001,30.97,,0.0,47457.773,25.517513,2.0
Buenos Aires,2017-01-22,2017,01,Sun,-58.37723,-34.61315,33.322323,0.0,0.0,33.12116,50544.24,35.64,0.0,,0,24.461,7.0840435,21.188072,0.0,,0,29.761,30.49,,0.0,47373.703,25.381708,3.0
Buenos Aires,2017-01-23,2017,01,Mon,-58.37723,-34.61315,78.37159,0.0,0.0,31.797249,50452.508,49.68,0.0,,0,24.061,6.6592712,27.897097,0.0,,0,28.611,29.12,,0.0,46720.793,25.076365,3.0
Buenos Aires,2017-01-24,2017,01,Tue,-58.37723,-34.61315,318.304,6.0,6.2,33.3987,50359.203,54.0,0.0,,0,23.611,4.956124,27.757376,0.0,,0,31.311,20.84,,6.2,30019.445,26.621725,63.0
Buenos Aires,2017-01-25,2017,01,Wed,-58.37723,-34.61315,182.81479,0.0,0.0,26.107105,50264.434,50.039997,0.0,,0,18.511,5.9868264,27.834309,0.0,,0,24.711,26.34,,0.0,43258.63,16.012182,3.0
Buenos Aires,2017-01-26,2017,01,Thu,-58.37723,-34.61315,166.94746,0.0,0.0,23.162136,50168.316,52.92,0.0,,0,14.011001,6.3588557,23.584808,0.0,,0,23.411001,27.88,,0.0,45133.555,10.726712,3.0
Buenos Aires,2017-01-27,2017,01,Fri,-58.37723,-34.61315,76.73159,0.0,0.0,26.618933,50070.97,38.519997,0.0,,0,15.961,6.094199,19.13426,0.0,,0,24.511,31.06,,0.0,46930.5,14.729038,1.0
