City,Historical_Date,Historical_Year,Historical_Month,Historical_Day,longitude,latitude,wind_direction_10m_dominant,precipitation_hours,precipitation_sum,apparent_temperature_max,daylight_duration,wind_gusts_10m_max,snowfall_sum,uv_index_clear_sky_max,sunset,temperature_2m_min,et0_fao_evapotranspiration,wind_speed_10m_max,showers_sum,uv_index_max,sunrise,temperature_2m_max,shortwave_radiation_sum,precipitation_probability_max,rain_sum,sunshine_duration,apparent_temperature_min,weather_code
Buenos Aires,2018-01-01,2018,01,Mon,-58.4440583,-34.6083696,124.42502,0.0,0.0,27.017107,51921.957,47.16,0.0,,0,17.5915,6.2049646,24.967497,0.0,,0,25.741499,25.4,,0.0,48655.67,15.391819,3.0
Buenos Aires,2018-01-02,2018,01,Tue,-58.4440583,-34.6083696,308.7676,2.0,0.6,30.420067,51886.52,51.839996,0.0,,0,20.1415,7.6239758,26.427528,0.0,,0,31.4415,28.96,,0.6,48622.402,20.02595,51.0
Buenos Aires,2018-01-03,2018,01,Wed,-58.4440583,-34.6083696,279.0222,0.0,0.0,30.095295,51848.133,55.44,0.0,,0,18.5415,8.634689,30.735231,0.0,,0,32.5415,31.41,,0.0,48586.395,18.686842,3.0
Buenos Aires,2018-01-04,2018,01,Thu,-58.4440583,-34.6083696,320.84888,2.0,0.6,34.53651,51806.746,69.84,0.0,,0,22.5415,8.971155,33.059288,0.0,,0,36.091503,26.31,,0.6,48547.863,20.596676,53.0
Buenos Aires,2018-01-05,2018,01,Fri,-58.4440583,-34.6083696,278.02063,9.0,4.3999996,31.163158,51761.895,57.6,0.0,,0,20.5415,3.1223803,26.66188,0.0,,0,28.3915,9.45,,4.3999996,12878.563,19.713387,61.0
Buenos Aires,2018-01-06,2018,01,Sat,-58.4440583,-34.6083696,138.81415,0.0,0.0,26.534037,51713.598,43.56,0.0,,0,16.3415,7.0619464,25.699057,0.0,,0,25.6415,32.92,,0.0,48461.516,14.095215,3.0
Buenos Aires,2018-01-07,2018,01,Sun,-58.4440583,-34.6083696,344.3882,0.0,0.0,30.54123,51661.973,46.079998,0.0,,0,20.491499,8.700047,25.44566,0.0,,0,30.991499,31.75,,0.0,48413.67,17.270924,2.0
Buenos Aires,2018-01-08,2018,01,Mon,-58.4440583,-34.6083696,353.61398,0.0,0.0,32.69152,51607.145,41.039997,0.0,,0,21.8915,8.210611,20.60823,0.0,,0,31.8415,31.84,,0.0,48362.85,21.841639,0.0
Buenos Aires,2018-01-09,2018,01,Tue,-58.4440583,-34.6083696,69.0233,0.0,0.0,31.451515,51549.227,59.76,0.0,,0,23.6915,8.388626,33.97187,0.0,,0,30.9415,32.1,,0.0,48309.18,21.9453,0.0
Buenos Aires,2018-01-10,2018,01,Wed,-58.4440583,-34.6083696,67.78922,0.0,0.0,34.358406,51488.348,46.079998,0.0,,0,24.1415,7.1392884,26.220753,0.0,,0,30.9415,27.23,,0.0,48252.727,24.316076,1.0
