City,Historical_Date,Historical_Year,Historical_Month,Historical_Day,longitude,latitude,wind_direction_10m_dominant,precipitation_hours,precipitation_sum,apparent_temperature_max,daylight_duration,wind_gusts_10m_max,snowfall_sum,uv_index_clear_sky_max,sunset,temperature_2m_min,et0_fao_evapotranspiration,wind_speed_10m_max,showers_sum,uv_index_max,sunrise,temperature_2m_max,shortwave_radiation_sum,precipitation_probability_max,rain_sum,sunshine_duration,apparent_temperature_min,weather_code
Buenos Aires,2014-01-01,2014,01,Wed,-58.37723,-34.61315,352.87506,3.0,0.5,34.688858,51921.83,23.039999,0.0,,0,24.398,5.302519,15.530151,0.0,,0,30.548,24.43,,0.5,48256.723,27.303013,51.0
Buenos Aires,2014-01-02,2014,01,Thu,-58.37723,-34.61315,203.3678,16.0,25.5,32.73543,51886.336,36.0,0.0,,0,22.348,2.0672963,20.08916,0.0,,0,28.048,8.88,,25.5,13373.704,22.417961,63.0
Buenos Aires,2014-01-03,2014,01,Fri,-58.37723,-34.61315,186.76608,0.0,0.0,23.232876,51847.93,45.719997,0.0,,0,14.848,7.1499887,30.007679,0.0,,0,23.248,33.72,,0.0,48586.523,11.606064,3.0
Rio de Janeiro,2014-01-01,2014,01,Wed,-43.18223,-22.90642,337.93195,2.0,2.1,42.658386,48626.645,24.84,0.0,,0,24.4975,6.3200445,10.829959,0.0,,0,35.1975,28.77,,2.1,44863.312,29.464268,61.0
Rio de Janeiro,2014-01-02,2014,01,Thu,-43.18223,-22.90642,67.20941,0.0,0.0,41.24072,48605.523,36.0,0.0,,0,25.4975,5.9095116,18.709612,0.0,,0,33.7475,26.6,,0.0,44882.5,30.825668,3.0
Rio de Janeiro,2014-01-03,2014,01,Fri,-43.18223,-22.90642,44.89247,0.0,0.0,44.83142,48582.664,29.88,0.0,,0,25.1475,7.0281634,12.979984,0.0,,0,38.0475,30.01,,0.0,45168.805,30.079788,3.0
Marseille,2014-01-01,2014,01,Wed,5.38107,43.29695,111.15932,1.0,0.1,9.887892,32559.889,39.239998,0.0,,0,8.3155,0.8790192,20.88,0.0,,0,12.6155,5.09,,0.1,26688.205,5.740223,51.0
Marseille,2014-01-02,2014,01,Thu,5.38107,43.29695,126.86998,5.0,3.1,14.432644,32608.637,46.44,0.0,,0,10.8155,0.7622367,22.9724,0.0,,0,14.5155,4.29,,3.1,22015.059,8.092764,55.0
Marseille,2014-01-03,2014,01,Fri,5.38107,43.29695,93.6596,1.0,0.8,11.297095,32661.37,34.92,0.0,,0,10.2655,0.72283727,18.511143,0.0,,0,13.415501,4.74,,0.8,21991.527,8.105486,53.0
Brussels,2014-01-01,2014,01,Wed,4.34878,50.85045,186.8247,5.0,3.0000002,3.7578487,28932.457,65.159996,0.0,,0,4.4735,0.6869965,35.428463,0.0,,0,9.7235,2.31,,3.0000002,8051.891,-0.3268144,55.0
